team,Pitcher's Team
pitch_type,The type of pitch derived from Statcast.
game_date,Date of the Game.
release_speed,"Pitch velocities from 2008-16 are via Pitch F/X, and adjusted to roughly out-of-hand release point. All velocities from 2017 and beyond are Statcast, which are reported out-of-hand."
release_pos_x,Horizontal Release Position of the ball measured in feet from the catcher's perspective.
release_pos_z,Vertical Release Position of the ball measured in feet from the catcher's perspective.
pitcher_name,Player's name tied to the event of the search.
batter_name,Player's name tied to the event of the search.
batter,MLB Player Id tied to the play event.
pitcher,MLB Player Id tied to the play event.
events,Event of the resulting Plate Appearance.
description,Description of the resulting pitch.
zone,Zone location of the ball when it crosses the plate from the catcher's perspective.
stand,Side of the plate batter is standing.
p_throws,Hand pitcher throws with.
home_team,Abbreviation of home team.
away_team,Abbreviation of away team.
type,"Short hand of pitch result. B = ball, S = strike, X = in play."
hit_location,Position of first fielder to touch the ball.
bb_type,"Batted ball type, ground_ball, line_drive, fly_ball, popup."
balls,Pre-pitch number of balls in count.
strikes,Pre-pitch number of strikes in count.
pfx_x,Horizontal movement in feet from the catcher's perspective.
pfx_z,Vertical movement in feet from the catcher's perpsective.
plate_x,Horizontal position of the ball when it crosses home plate from the catcher's perspective.
plate_z,Vertical position of the ball when it crosses home plate from the catcher's perspective.
outs_when_up,Pre-pitch number of outs.
inning,Pre-pitch inning number.
inning_topbot,Pre-pitch top or bottom of inning.
hc_x,Hit coordinate X of batted ball.
hc_y,Hit coordinate Y of batted ball.
hit_distance_sc,Projected hit distance of the batted ball.
launch_speed,"Exit velocity of the batted ball as tracked by Statcast. For the limited subset of batted balls not tracked directly, estimates are included based on the process described here."
launch_angle,"Launch angle of the batted ball as tracked by Statcast. For the limited subset of batted balls not tracked directly, estimates are included based on the process described here."
release_spin_rate,Spin rate of pitch tracked by Statcast.
release_extension,Release extension of pitch in feet as tracked by Statcast.
launch_speed_angle,"Launch speed/angle zone based on launch angle and exit velocity.
1: Weak
2: Topped
3: Under
4: Flare/Burner
5: Solid Contact
6: Barrel"
at_bat_number,Plate appearance number of the game.
pitch_number,Total pitch number of the plate appearance.
pitch_name,The name of the pitch derived from the Statcast Data.
home_score,Pre-pitch home score
away_score,Pre-pitch away score
spin_axis,"The Spin Axis in the 2D X-Z plane in degrees from 0 to 360, such that 180 represents a pure backspin fastball and 0 degrees represents a pure topspin (12-6) curveball"
